CountyName,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender,Total,Week Ending
Alamance,36942,37072,693,32,126,0,0,0,40509,74522,23928,266,12,1124,670,9827,5025,6524,48092,58176,9106,115374,08/10/2024
Alexander,4039,12288,118,2,30,0,0,0,8894,22208,960,36,1,153,37,1574,402,535,11455,12274,1642,25371,08/10/2024
Alleghany,1700,3430,40,0,11,0,0,0,2915,7180,76,8,0,6,17,660,149,252,3613,3874,609,8096,08/10/2024
Anson,8497,3194,58,2,27,0,0,0,4611,6874,6504,35,1,102,22,2639,212,158,6193,7467,2729,16389,08/10/2024
Ashe,3649,9348,106,2,19,0,0,0,7319,18809,120,24,2,55,17,1178,238,348,9204,10142,1097,20443,08/10/2024
Avery,1286,7473,64,3,17,0,0,0,4220,11851,64,18,0,24,19,953,134,128,5851,6382,830,13063,08/10/2024
Beaufort,10113,13045,129,3,35,0,0,0,11170,24140,7151,41,2,62,68,2275,756,725,14765,17320,2410,34495,08/10/2024
Bertie,7540,1750,37,1,8,0,0,0,3329,4605,7081,19,1,31,18,832,78,57,5252,6577,836,12665,08/10/2024
Bladen,8986,5620,91,4,34,0,0,0,8350,12691,7533,403,4,25,98,1799,532,634,9900,11648,1537,23085,08/10/2024
Brunswick,27494,55125,704,25,166,0,0,0,52472,113374,9140,396,10,548,248,9837,2433,2281,57894,66938,11154,135986,08/10/2024
Buncombe,72616,45183,1656,145,381,0,0,0,92257,176201,10430,360,43,1601,1007,16693,5903,5681,90640,105870,15728,212238,08/10/2024
Burke,12249,23979,366,13,66,0,0,0,22926,49662,3103,89,1,972,133,4178,1461,1496,26077,29063,4459,59599,08/10/2024
Cabarrus,43984,51713,1223,87,418,0,0,0,60553,98393,32370,409,11,3758,741,14916,7380,7804,66223,77561,14194,157978,08/10/2024
Caldwell,9136,26853,356,9,75,0,0,0,18048,46259,2563,72,0,199,136,4257,991,1210,24057,26689,3731,54477,08/10/2024
Camden,1372,3284,71,1,20,0,0,0,3880,7046,937,11,1,35,18,420,160,70,3940,4217,471,8628,08/10/2024
Carteret,9212,26366,363,12,67,0,0,0,21470,49771,2240,105,8,314,135,4119,798,783,24969,28164,4357,57490,08/10/2024
Caswell,5858,4398,63,1,13,0,0,0,5079,9573,4552,24,1,30,47,944,241,261,6758,7677,977,15412,08/10/2024
Catawba,20034,49122,665,30,294,0,0,0,44061,88269,8902,146,5,2637,335,9129,4783,5188,49642,55274,9290,114206,08/10/2024
Chatham,21106,14650,319,20,81,0,0,0,25853,45467,5943,125,3,1125,257,6954,2155,2485,25554,29660,6815,62029,08/10/2024
Cherokee,3268,12373,150,3,20,0,0,0,8130,22313,253,119,1,97,33,867,261,264,11295,12157,492,23944,08/10/2024
Chowan,3571,3220,45,2,16,0,0,0,3608,6833,2840,14,6,16,25,608,120,95,4537,5524,401,10462,08/10/2024
Clay,1369,4919,56,0,2,0,0,0,3733,9473,44,16,0,16,11,440,79,91,4611,5055,413,10079,08/10/2024
Cleveland,19451,26704,421,17,128,0,0,0,22175,47691,13432,90,4,335,231,5867,1246,1160,29207,33904,5785,68896,08/10/2024
Columbus,13423,11125,115,6,34,0,0,0,12388,22269,10380,963,4,68,88,2682,637,606,15849,18686,2556,37091,08/10/2024
Craven,19869,28724,590,26,149,0,0,0,28314,53999,14385,188,8,1248,280,5062,2502,2307,33234,39406,5032,77672,08/10/2024
Cumberland,86928,49916,1840,103,678,0,0,0,78163,87673,86463,2380,77,3547,2049,21470,13969,14378,87625,108742,21261,217628,08/10/2024
Currituck,3309,10379,216,6,68,0,0,0,10673,21325,1216,46,3,111,76,1383,491,274,11311,11965,1375,24651,08/10/2024
Dare,7419,11650,249,14,55,0,0,0,14345,30512,562,38,1,127,62,1796,634,384,15217,16724,1791,33732,08/10/2024
Davidson,21170,56713,699,24,263,0,0,0,39359,93491,11012,247,5,922,262,9080,3209,3557,51182,58022,9024,118228,08/10/2024
Davie,4621,16672,158,11,74,0,0,0,11370,27649,1946,44,0,145,82,2321,719,924,14584,16221,2101,32906,08/10/2024
Duplin,10516,10097,133,9,46,0,0,0,11173,18503,8151,71,3,71,143,3340,1692,2493,13508,15734,2732,31974,08/10/2024
Durham,124896,23553,1195,107,421,0,0,0,90223,115335,73630,588,41,8898,2670,28573,10660,12470,94305,119618,26472,240395,08/10/2024
Edgecombe,20165,6706,105,6,78,0,0,0,8353,12074,19218,56,2,47,111,3264,641,673,13989,18224,3200,35413,08/10/2024
Forsyth,96623,71140,1646,110,537,0,0,0,96524,160135,65479,510,29,3494,1500,24136,11297,14209,109353,134284,22943,266580,08/10/2024
Franklin,16784,16677,380,13,98,0,0,0,19327,33635,12188,145,3,334,192,4857,1925,2097,22275,25502,5502,53279,08/10/2024
Gaston,40366,61274,1183,54,548,0,0,0,55455,109933,28315,325,9,1400,646,12465,5787,6509,67843,79693,11344,158880,08/10/2024
Gates,3393,2194,38,2,13,0,0,0,2755,5223,2454,19,0,11,42,558,88,57,3633,4148,614,8395,08/10/2024
Graham,1046,3151,35,1,2,0,0,0,1944,5602,9,268,1,18,5,232,44,40,2909,3060,210,6179,08/10/2024
Granville,15663,11120,224,10,98,0,0,0,13613,23081,11458,77,3,182,191,4417,1319,1252,16519,19071,5138,40728,08/10/2024
Greene,4685,2572,30,1,29,0,0,0,3751,6003,3724,11,0,18,22,790,500,541,4738,5644,686,11068,08/10/2024
Guilford,154914,89197,2198,141,696,0,0,0,137661,195218,127565,972,34,10074,2684,32687,15573,14962,161126,199975,23706,384807,08/10/2024
Halifax,20175,4909,106,6,60,0,0,0,10765,13796,18433,1040,5,177,131,2014,425,322,15377,18671,1973,36021,08/10/2024
Harnett,24046,31841,812,42,323,0,0,0,31704,54827,17984,484,17,711,518,9158,5069,5837,36994,43285,8489,88768,08/10/2024
Haywood,11725,16523,317,20,64,0,0,0,18125,43141,481,118,0,159,95,2183,597,673,21111,23962,1701,46774,08/10/2024
Henderson,17195,32473,613,42,161,0,0,0,40432,78823,2430,146,12,554,387,5908,2656,3132,39073,46252,5591,90916,08/10/2024
Hertford,8698,1622,40,3,18,0,0,0,3499,4493,8306,95,2,42,59,735,148,103,5746,7453,681,13880,08/10/2024
Hoke,13757,7648,307,22,68,0,0,0,12783,13498,12871,1992,15,357,248,3104,2500,2565,14868,17677,2040,34585,08/10/2024
Hyde,1339,696,15,0,2,0,0,0,1118,2378,563,0,0,1,9,171,48,69,1413,1596,161,3170,08/10/2024
Iredell,27329,58475,885,36,272,0,0,0,54956,110026,15359,226,9,1601,431,9643,4658,5261,62699,69291,9963,141953,08/10/2024
Jackson,8115,8511,244,20,29,0,0,0,12754,24296,595,1532,6,237,168,2163,676,767,12946,14476,2251,29673,08/10/2024
Johnston,40027,58720,1200,54,577,0,0,0,58739,106477,26704,438,19,1021,638,16476,7544,9597,68788,79177,11352,159317,08/10/2024
Jones,2424,2365,32,0,12,0,0,0,2365,4433,2016,12,2,21,25,587,102,114,3088,3523,587,7198,08/10/2024
Lee,12292,12255,303,15,84,0,0,0,15291,25721,7405,142,5,279,271,3774,2643,3655,16854,20153,3233,40240,08/10/2024
Lenoir,16216,10676,154,16,192,0,0,0,11647,19034,14953,66,7,105,126,3706,904,952,15677,19561,3663,38901,08/10/2024
Lincoln,11693,32795,413,13,124,0,0,0,24006,58049,3732,88,2,342,151,4903,1777,2254,30583,33325,5136,69044,08/10/2024
Macon,4893,12641,195,5,15,0,0,0,11170,26488,204,67,0,121,61,1408,570,619,13367,15052,500,28919,08/10/2024
Madison,4842,4926,112,11,31,0,0,0,7361,15465,127,27,0,53,44,1352,215,194,7565,8153,1565,17283,08/10/2024
Martin,7502,3548,58,3,13,0,0,0,5115,8583,6263,27,0,23,52,1074,217,210,6716,8456,1067,16239,08/10/2024
Mcdowell,5373,13462,185,11,50,0,0,0,11423,27593,835,35,1,143,130,1162,605,666,13864,15259,1381,30504,08/10/2024
Mecklenburg,324886,158222,5888,375,2197,0,0,0,317386,411312,244909,2091,64,23725,5026,76996,44831,47785,337688,405229,66037,808954,08/10/2024
Mitchell,1034,6521,51,4,14,0,0,0,3701,10166,42,12,1,17,14,975,98,146,5009,5504,812,11325,08/10/2024
Montgomery,4953,6401,86,3,25,0,0,0,5824,12028,2955,47,1,190,43,1353,675,864,7578,8516,1198,17292,08/10/2024
Moore,14866,31529,611,17,113,0,0,0,29309,61443,7448,366,6,665,235,3989,2293,1931,33531,39360,3554,76445,08/10/2024
Nash,27405,19556,300,11,166,0,0,0,22240,34208,26371,358,4,351,281,6090,2015,1988,28690,35002,5986,69678,08/10/2024
New hanover,50445,54470,1460,79,379,0,0,0,77188,141145,19216,408,15,1535,825,16156,4721,4431,76219,89816,17986,184021,08/10/2024
Northampton,7642,1602,37,3,24,0,0,0,3605,5067,7016,33,0,9,20,676,92,74,5561,6608,744,12913,08/10/2024
Onslow,23672,49384,1805,46,338,0,0,0,56558,88856,19818,498,42,1855,870,12461,7403,8485,56134,64447,11222,131803,08/10/2024
Orange,50161,13395,539,44,124,0,0,0,45677,76150,11631,239,3,5274,1021,11235,4387,4531,45242,53557,11141,109940,08/10/2024
Pamlico,2724,4209,59,5,11,0,0,0,3353,8065,1420,29,0,41,16,670,120,125,4621,5125,615,10361,08/10/2024
Pasquotank,10899,7909,221,10,90,0,0,0,11959,17283,10016,44,2,161,168,2695,719,469,13068,15344,2676,31088,08/10/2024
Pender,10607,20360,423,15,92,0,0,0,19002,38813,5783,127,4,224,148,4043,1357,1443,21990,24295,4214,50499,08/10/2024
Perquimans,2855,3690,64,2,26,0,0,0,3909,7724,1955,20,2,23,24,683,115,71,4571,5260,715,10546,08/10/2024
Person,9294,8386,125,8,34,0,0,0,10175,18178,6941,116,2,58,100,2040,587,595,12055,14043,1924,28022,08/10/2024
Pitt,47771,31075,765,48,295,0,0,0,43862,65544,40792,254,9,1088,684,10818,4627,3711,49809,62390,11617,123816,08/10/2024
Polk,3541,6396,113,6,27,0,0,0,6818,14973,578,10,2,54,37,961,286,320,7503,8837,561,16901,08/10/2024
Randolph,14682,50253,598,18,171,0,0,0,31124,78537,6175,316,7,726,227,6985,3873,4445,42781,47771,6294,96846,08/10/2024
Richmond,11615,7711,129,9,70,0,0,0,9287,16844,8889,409,1,154,58,1621,845,649,12529,14803,1489,28821,08/10/2024
Robeson,33841,14259,242,13,201,0,0,0,25601,20408,19190,25393,31,310,472,5303,3050,2370,31595,39264,3298,74157,08/10/2024
Rockingham,17089,24893,332,18,106,0,0,0,20071,43740,11173,100,0,219,172,5807,1298,1389,27685,32452,2372,62509,08/10/2024
Rowan,22181,42173,636,27,314,0,0,0,33207,71464,15494,182,6,530,337,7493,3032,3450,42466,48500,7572,98538,08/10/2024
Rutherford,9557,20459,263,8,93,0,0,0,16676,38286,4026,56,0,143,117,3488,940,980,20351,23416,3289,47056,08/10/2024
Sampson,12436,15634,185,7,126,0,0,0,10215,22287,10041,526,0,99,125,3080,2445,3117,16744,19749,2110,38603,08/10/2024
Scotland,9575,4752,80,12,60,0,0,0,7620,9663,8084,1747,17,165,105,2037,281,246,8888,11302,1909,22099,08/10/2024
Stanly,8265,21655,214,21,150,0,0,0,15011,34935,4726,81,6,449,63,4185,871,823,19126,21746,4444,45316,08/10/2024
Stokes,5020,17341,213,11,39,0,0,0,10279,28300,1214,53,1,72,77,2751,435,493,15648,17172,83,32903,08/10/2024
Surry,8921,22704,236,17,55,0,0,0,16296,40900,1698,53,2,132,96,3780,1568,2253,21251,23831,3147,48229,08/10/2024
Swain,2716,3159,69,8,13,0,0,0,3975,7573,98,1567,1,35,31,496,139,90,4535,4989,416,9940,08/10/2024
Transylvania,5588,8548,151,2,24,0,0,0,12252,23681,728,47,1,92,74,1604,338,275,11634,13340,1591,26565,08/10/2024
Tyrrell,980,459,8,0,1,0,0,0,838,1402,631,3,0,20,5,180,45,42,1008,1089,189,2286,08/10/2024
Union,39742,71410,1187,58,338,0,0,0,67980,124962,20045,533,11,4352,793,21516,8503,9427,76869,85283,18563,180715,08/10/2024
Vance,15814,5129,104,6,53,0,0,0,7333,11366,14021,60,1,97,101,2018,775,816,11659,14903,1877,28439,08/10/2024
Wake,287405,177720,6158,340,2003,0,0,0,366153,510885,150111,2170,66,35503,5466,91265,44313,38388,353299,405438,81042,839779,08/10/2024
Warren,7687,2351,39,2,20,0,0,0,3230,5556,6217,528,2,25,45,774,182,137,5707,6832,790,13329,08/10/2024
Washington,4462,1437,22,0,5,0,0,0,2032,3626,3718,9,0,17,14,485,89,65,3340,4150,468,7958,08/10/2024
Watauga,10944,12378,382,51,17,0,0,0,19956,38273,820,60,8,367,424,2969,807,1225,18984,21826,2918,43728,08/10/2024
Wayne,26447,25806,451,19,319,0,0,0,22533,41676,23439,135,4,534,358,5630,3799,3411,31647,37961,5967,75575,08/10/2024
Wilkes,6573,24426,209,6,65,0,0,0,13280,38922,1611,45,0,135,116,2863,867,1044,19716,21762,3081,44559,08/10/2024
Wilson,24468,14097,253,11,143,0,0,0,16743,27191,21930,119,0,286,165,3884,2140,2059,23197,29198,3320,55715,08/10/2024
Yadkin,2863,14343,133,6,27,0,0,0,7828,21859,735,23,1,65,39,1657,821,1062,11241,12344,1615,25200,08/10/2024
Yancey,3643,5457,86,5,21,0,0,0,5226,13168,75,27,1,31,24,960,152,167,6513,7066,859,14438,08/10/2024
